BOROUGH CODE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LATITUDE,LONGITUDE,GROUPED CATEGORY
1,MANHATTAN,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS,2B,1815,110,,C5,515 1/2 EAST 118 STREET,,10035.0,8.0,0.0,8.0,1682.0,2400.0,1900.0,2,C5,270000,2023-03-03,40.7961302,-73.93117149999998,Apartment
1,MANHATTAN,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,1,2084,109,,A9,545 WEST 152ND STREET,,10031.0,1.0,0.0,1.0,1549.0,3300.0,1899.0,1,A9,700000,2023-03-24,40.8306544,-73.9462795,Single-family home
1,MANHATTAN,HARLEM-UPPER,02 TWO FAMILY DWELLINGS,1,2061,9,,B1,471 WEST 146TH STREET,,10031.0,2.0,0.0,2.0,1665.0,3000.0,2014.0,1,B1,2200000,2023-03-02,40.82583899999999,-73.9463755,Duplex
1,MANHATTAN,HARLEM-UPPER,02 TWO FAMILY DWELLINGS,1,2074,18,,B1,517 WEST 142 STREET,,10031.0,2.0,0.0,2.0,1699.0,3740.0,1899.0,1,B1,1990500,2022-11-07,40.824015,-73.95020670000001,Duplex
1,MANHATTAN,HARLEM-UPPER,02 TWO FAMILY DWELLINGS,1,2080,44,,B1,528 WEST 149 STREET,,10031.0,2.0,0.0,2.0,1499.0,2904.0,1910.0,1,B1,1200000,2022-11-03,40.8281473,-73.9470151,Duplex
1,MANHATTAN,HARLEM-UPPER,02 TWO FAMILY DWELLINGS,1,2080,44,,B1,528 WEST 149 STREET,,10031.0,2.0,0.0,2.0,1499.0,2904.0,1910.0,1,B1,1200000,2022-11-03,40.8281473,-73.9470151,Duplex
1,MANHATTAN,HARLEM-UPPER,02 TWO FAMILY DWELLINGS,1,2084,5,,B1,559 WEST 152 STREET,,10031.0,2.0,0.0,2.0,1343.0,3840.0,1899.0,1,B1,1500000,2022-07-07,,,Duplex
1,MANHATTAN,HARLEM-UPPER,03 THREE FAMILY DWELLINGS,1,2073,149,,C0,522 WEST 142ND STREET,,10031.0,3.0,0.0,3.0,1499.0,2872.0,1910.0,1,C0,998000,2022-11-23,40.823806299999994,-73.9506045,Multi-family home
1,MANHATTAN,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS,2A,2057,30,,C3,475 WEST 140TH STREET,,10031.0,4.0,0.0,4.0,1799.0,3588.0,1926.0,2,C3,999999,2023-02-24,40.822109000000005,-73.94949729999998,Apartment
1,MANHATTAN,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS,2B,2061,24,,C5,421 WEST 146TH STREET,,10031.0,10.0,0.0,10.0,1199.0,2588.0,1920.0,2,C5,1683000,2023-04-19,40.82522279999999,-73.9450175,Apartment
