BOROUGH CODE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5803,26,,A1,23-21 202ND STREET,,11360.0,1.0,0.0,1.0,4275.0,1440.0,1960.0,1,A1,1650000,2022-06-10
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5863,346,,A1,14-04 209TH STREET,,11360.0,1.0,0.0,1.0,3519.0,1566.0,1960.0,1,A1,993000,2023-04-03
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5863,398,,A1,13-59 209TH STREET,,11360.0,1.0,0.0,1.0,4017.0,1566.0,1960.0,1,A1,1070000,2022-12-15
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5863,406,,A1,13-43 209TH STREET,,11360.0,1.0,0.0,1.0,3925.0,1566.0,1960.0,1,A1,999999,2022-06-23
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5968,1,,A1,27-01 UTOPIA PARKWAY,,11358.0,1.0,0.0,1.0,4121.0,1930.0,1935.0,1,A1,1499000,2022-08-10
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5968,7,,A0,198-18 27 AVENUE,,11358.0,1.0,0.0,1.0,4795.0,1141.0,1945.0,1,A0,800000,2023-01-11
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5969,53,,A1,26-23 200TH STREET,,11360.0,1.0,0.0,1.0,6800.0,2154.0,1945.0,1,A1,1765000,2023-01-18
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5969,59,,A1,26-11 200 STREET,,11360.0,1.0,0.0,1.0,6240.0,1288.0,1950.0,1,A1,990000,2022-08-22
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5971,23,,A1,28-46 200TH STREET,,11360.0,1.0,0.0,1.0,4167.0,1878.0,1950.0,1,A1,1270000,2022-12-01
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5971,33,,A1,2843 JORDAN STREET,,11358.0,1.0,0.0,1.0,3842.0,1924.0,1950.0,1,A1,1315000,2023-04-03
